EKIPI	-53.78500	-68.04528	IAC GRA
EKIVO	-41.32694	-70.87083	IAC BAR-STAR BAR
EKOPA	-40.39111	-68.02500	W34-UW34-T105-UT105
EKOTA	-39.82972	-70.48500	W32-SID CHP-STAR CHP-IAC CHP
ELABO	-33.46000	-62.79028	W10-UW10-UZ113
ELADA	-43.10528	-67.70444	W40-UW40-T105-UT105
ELAMO	-28.10056	-55.45222	UL324
ENPAL	-27.90139	-64.06056	SID SDE
ENPID	-34.70472	-58.15389	IAC AER-STAR AER
ENRAR	-43.30139	-65.87389	STAR TRE
ENRID	-26.87194	-64.90139	UT681-UZ120
ENRIL	-37.33917	-64.37222	T661-T655-UT700-UT655
ENTIB	-33.92139	-61.70556	UT670-UT705
ENTIS	-51.60139	-69.15917	IAC GAL
ENTOS	-34.37389	-65.70889	W65-TMA RYD
ENVOK	-28.18833	-65.65417	IAC CAT-SID CAT-STAR CAT
EPDIL	-27.67861	-58.74639	IAC CRR
EPGOL	-38.03417	-69.71167	R683
ERODE	-38.94861	-68.30417	IAC NEU
ERUMI	-37.05611	-59.20889	IAC DIL
ERUTU	-32.29028	-65.60389	Z104-W 19
ESABI	-25.81472	-54.28750	IAC IGU
ESAKO	-25.16389	-65.44111	IAC SAL-STAR SAL
ESBER	-36.74556	-64.42028	IAC OSA
ESBON	-53.76944	-67.45389	IAC GRA
ESITO	-33.89944	-68.86750	UZ108-A307-W37-W44-UW37-UW44-UT652-UL531-SID DOZ-STAR
ESKAD	-32.66972	-60.11833	W6-TMA PAR
ESKON	-33.23111	-60.32889	W 5-TMA ROS
ESKOP	-32.34417	-66.36472	UW57
ESLAN	-34.98194	-57.08472	UL405-UL211-SID EZE-STAR EZE
ESLED	-27.18889	-62.07194	UL404-UZ120
ESLOD	-27.71861	-58.80417	IAC CRR-STAR SIS CRR
ESLUN	-45.66083	-67.12167	STAR CRV-IAC CRV
ESMOK	-32.79389	-60.75972	IAC ROS
ESMOS	-28.09472	-59.79917	A307-UL531-SID CRR SIS-STAR CRR SIS-TMA SIS
ESNAM	-50.25278	-71.60861	STAR ECA-IAC ECA-SID ECA
ESNIM	-34.93944	-62.66083	UM424-UT705
ESNUG	-31.30889	-68.42083	IAC JUA-STAR JUA
ESNUR	-39.88167	-71.17694	STAR CHP-IAC CHP
ESOKA	-22.96833	-64.85472	UL322
ESONA	-31.43500	-64.16444	IAC CBA
ESPAT	-53.78806	-68.18583	IAC GRA
ESPER	-27.01139	-63.63222	UT672-UZ120-ANTIGRANIZO JUJ SUP
ESPEV	-51.70250	-69.64194	IAC GAL-STAR GAL
ESPIP	-27.01861	-65.13889	IAC TUC
ESUBI	-28.68722	-65.77389	IAC CAT-SID CAT
ESUKA	-27.03944	-53.77778	UM657
ESURO	-37.69528	-58.13556	W28-SID MDP-STAR MDP-TMA MDP-TMA DIL
ETALU	-34.51611	-67.18194	UM424-UT685
ETASO	-45.83306	-68.68389	W58-SID CRV-STAR CRV-TMA CRV
ETEPO	-30.72222	-65.02056	W16-UW16-SID CBA STAR CBA-TMA CBA
ETIBU	-38.55139	-68.84194	R683-STAR NEU
EVLAD	-42.96278	-66.09833	STAR TRE
EVPON	-31.08306	-64.33833	STAR CBA-IAC CBA
EVRIX	-40.12778	-71.31000	IAC CHP
EVSEG	-31.07444	-63.71250	STAR CBA
EVTAM	-31.23167	-62.63444	UM418-UT652
EVTEL	-34.34111	-58.45778	IAC FDO
EVTEX	-27.55750	-55.83639	IAC POS
FAUNA	-26.62111	-64.86944	IAC TUC
FILTI	-26.68528	-65.07500	IAC TUC
FRAGA	-33.58278	-66.01750	W9-SID UIS-STAR UIS-TMA RYD-TMA UIS
FUSCA	-34.65833	-58.23778	IAC AER
GATOS	-35.66639	-56.58389	UL211
GATUD	-43.99639	-65.88000	UP664-W18-SID CRV DRY TRE-STAR CRV TRE-TMA TRE
GAVAM	-31.03528	-61.06944	W8-UW8-TMA PAR
GAVEX	-26.69972	-63.81056	UT672-UM799
GAVIK	-38.10889	-57.46306	STAR MDP-IAC MDP
GAXOK	-22.22000	-64.61000	UL322
GEBEM	-35.20028	-59.15889	T654-UT 654-W22-UW22-SID AER EZE-STAR AER EZE
GEBIM	-43.05500	-65.16556	SID TRE
GEBOS	-56.38000	-65.73333	W56-UW56-Z133-UZ133
GEBUS	-42.70611	-70.72222	IAC ESQ
GEDOL	-31.75056	-68.41639	IAC JUA
GEDUK	-32.81472	-61.36667	W55-SID ROS-STAR ROS-TMA ROS
GEDUN	-33.48972	-66.38222	UT685-UL405
GEGAL	-50.77611	-72.10861	T659-SID ECA
GEGAT	-35.93028	-68.32389	UW37-UT685
GEGEP	-37.17833	-59.58333	UT694
GEGIK	-40.02333	-71.00889	IAC CHP
GEGUS	-30.26056	-60.01056	W20-UW20
GEKAL	-27.78056	-69.09167	UL650-UT691
GELEX	-28.56861	-65.81306	IAC CAT-SID CAT
GELOS	-33.08611	-63.93278	IAC TRC
GELRI	-42.66278	-65.11417	SID DRY-SID TRE
GELUV	-27.54611	-64.27972	IAC SDE
GEMAL	-37.13944	-59.21806	IAC DIL
GEMDO	-49.70861	-67.80444	UW45-UZ117
GEMIK	-24.70833	-62.52528	UL404-UM789
GEMIL	-55.00028	-58.07417	UT103
GEMOB	-41.08583	-71.35056	SID BAR
GEMOP	-31.02250	-63.19000	W25-Z160-UM400-STAR CBA-TMA CBA
GEMPI	-33.12139	-66.38833	IAC UIS
GEMSA	-40.84472	-63.11694	IAC VIE
GEMSU	-30.26667	-57.63833	N785-P526-UT667 Z120 -UZ120-UP526-UN785
GEMUD	-42.96972	-65.28944	STAR TRE
GEMVU	-33.08583	-66.47806	STAR UIS- IAC UIS
GENAS	-31.46528	-63.14750	W6-UW6-UT652-UZ111-SID CBA-STAR CBA-TMA CBA
GENAX	-39.06028	-63.25194	W34-UW34-SID BCA-STAR BCA-TMA BCA
GESNI	-34.27417	-63.90194	UT700
GESPA	-22.08833	-65.45000	UN525
GESTA	-35.08111	-58.44556	IAC EZE-STAR EZE
GETRA	-24.13444	-61.31111	UM784-UM799
GEVLU	-45.53306	-67.02361	STAR CRV
GIBLA	-40.91750	-62.77028	IAC VIE
GIBNA	-31.15000	-64.01194	IAC CBA
GIDPI	-37.80000	-69.13889	Z122-UZ122 LIMITE FIR DOZ-EZE
GIGLU	-50.18778	-72.15278	STAR ECA
GIGPO	-24.66278	-65.05500	STAR JUJ-IAC JUJ
GILNA	-43.14694	-65.04278	IAC TRE
GILSA	-30.51639	-67.63139	W3-UW3-UZ108-Z119
GILVO	-46.54444	-68.10917	W48-STAR CRV-TMA CRV
GIMBI	-42.82417	-70.96861	IAC ESQ
GUARE	-38.95417	-69.13861	B556-STAR NEU
GUDUX	-52.74722	-67.26806	UT108-T108-UT700
GUKAS	-27.37028	-60.08889	W7-Z120-SID CRR SIS-STAR CRR SIS-TMA SIS
GUVAD	-32.58722	-68.49000	STAR DOZ
GUVOL	-32.37500	-70.22500	UN527-UZ128
GUVUM	-43.27361	-65.49833	IAC TRE
GUVUX	-31.47611	-64.38111	IAC CBA
