AYIN	Busilmin Airstrip	Busilmin	PG	S		5450	-4.9166	141.1548
AYIO	Imonda Airport	Imonda	PG	S	IMD	990	-3.328	141.1573
AYIP	Iropena Airstrip	Iropena	PG	S		5190	-5.0326	143.8711
AYIQ	Aropa Airport	Kieta	PG	S	KIE	20	-6.3057	155.7282
AYIR	Inaru Airstrip	Inaru	PG	S		178	-4.6316	142.8913
AYIS	Isan Airstrip	Isan	PG	S		6955	-5.9781	146.6198
AYIT	Iteri Airstrip	Iteri	PG	S		242	-4.2418	141.5234
AYIU	Ialibu Airport	Ialibu	PG	S	IAL	6736	-6.2782	143.9944
AYIW	Wasua Airport	Wasua	PG	S	WSA	45	-8.2836	142.8697
AYIX	Witu Airport	Garove Island	PG	S	WIU	25	-4.6895	149.4401
AYIY	Miyanmin Airport	Miyanmin	PG	S	MPX	2500	-4.9031	141.6208
AYJE	Yomneri Airstrip	Yomneri	PG	S		6100	-5.237	144.6007
AYJO	Yongai Airport	Yongai	PG	S	KGH	6500	-8.5289	147.4603
AYJS	Josephstaal Airport	Josephstaal	PG	S	JOP	250	-4.7471	145.0071
AYJW	Wauru Airstrip		PG	S		200	-4.182	141.1983
AYKA	Losuia Airport	Losuia	PG	S	LSA	27	-8.5058	151.081
AYKB	Kabwum		PG	S	KBM	4450	-6.1555	147.1915
AYKC	Kandrian Airport	Kandrian	PG	S	KDR	280	-6.1922	149.5478
AYKD	Kamina Airport	Hoieti	PG	S	KMF	2157	-7.6493	145.9569
AYKG	Kopiago Airport	Kopiago	PG	S	KPA	4445	-5.3883	142.4977
AYKH	Kamulai Airport	Kamulai Mission	PG	S	KAQ	5800	-8.1507	146.834
AYKI	Kiunga Airport	Kiunga	PG	S	UNG	88	-6.1257	141.282
AYKJ	Kanainj Airport	Kanainj	PG	S	KNE	4064	-5.2903	144.7072
AYKK	Kikori Airport	Kikori	PG	S	KRI	50	-7.4244	144.2501
AYKL	Kafle Airstrip	Kafle	PG	S		850	-3.75	142.59
AYKM	Kerema Airport	Kerema	PG	M	KMA	10	-7.9636	145.771
AYKN	Kubuna Airstrip	Kubuna Mission	PG	S		200	-8.6917	146.7566
AYKO	Kokoda Airport	Kokoda	PG	S	KKD	1240	-8.8847	147.731
AYKQ	Kagi Airport	Kagi	PG	S	KGW	4200	-9.1359	147.6694
AYKR	Kar Kar Airport	Kar Kar Island	PG	S	KRX	130	-4.557	145.9404
AYKT	Kaintiba Airport	Kaintiba	PG	S	KZF	2050	-7.5003	146.0338
AYKU	Kuri Airport	Kuri	PG	S	KUQ	35	-7.1351	143.2761
AYKV	Kavieng Airport	Kavieng	PG	M	KVG	7	-2.5794	150.808
AYKW	Kawito Airport	Kawito	PG	S	KWO	72	-7.977	142.8236
AYKY	Londolovit Airport	Londolovit	PG	S	LNV	167	-3.0436	152.629
AYKZ	Kairiru Airstrip	Kairiru Island	PG	S		60	-3.3687	143.5542
AYLB	Lab Lab Airport	Lab Lab Mission	PG	S	LAB	160	-5.7204	148.0566
AYLC	Lake Campbell Airstrip	Lake Campbell	PG	S		585	-6.7486	142.6037
